"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"assertthat","0.2.1"
"base","4.3.3"
"base64enc","0.1-3"
"basilisk","1.14.3"
"basilisk.utils","1.14.1"
"beachmat","2.18.1"
"beeswarm","0.4.0"
"BH","1.87.0-1"
"Biobase","2.62.0"
"BiocGenerics","0.48.1"
"BiocManager","1.30.26"
"BiocNeighbors","1.20.2"
"BiocParallel","1.36.0"
"BiocSingular","1.18.0"
"BiocVersion","3.18.1"
"bitops","1.0-9"
"bluster","1.12.0"
"brew","1.0-10"
"brio","1.1.5"
"bslib","0.9.0"
"cachem","1.1.0"
"Cairo","1.6-2"
"callr","3.7.6"
"cli","3.6.5"
"clipr","0.8.0"
"cluster","2.1.8.2"
"codetools","0.2-20"
"colorspace","2.1-1"
"commonmark","2.0.0"
"compiler","4.3.3"
"coop","0.6-3"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.2"
"curl","6.4.0"
"datasets","4.3.3"
"DelayedArray","0.28.0"
"DelayedMatrixStats","1.24.0"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.6"
"digest","0.6.37"
"dir.expiry","1.10.0"
"doParallel","1.0.17"
"downlit","0.4.4"
"dplyr","1.1.4"
"dqrng","0.4.1"
"edgeR","4.0.16"
"ellipsis","0.3.2"
"evaluate","1.0.4"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"filelock","1.0.3"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"foreach","1.5.2"
"formatR","1.14"
"fs","1.6.6"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"gamlss","5.4-22"
"gamlss.data","6.0-6"
"gamlss.dist","6.1-1"
"generics","0.1.4"
"GenomeInfoDb","1.38.8"
"GenomeInfoDbData","1.2.11"
"GenomicRanges","1.54.1"
"gert","2.1.5"
"ggbeeswarm","0.7.2"
"ggplot2","3.5.2"
"ggrastr","1.0.2"
"ggrepel","0.9.6"
"gh","1.5.0"
"gitcreds","0.1.2"
"glue","1.8.0"
"graphics","4.3.3"
"grDevices","4.3.3"
"grid","4.3.3"
"gridExtra","2.3"
"gtable","0.3.6"
"here","1.0.1"
"highr","0.11"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr2","1.1.2"
"igraph","2.2.1"
"ini","0.3.1"
"IRanges","2.36.0"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"kde1d","1.1.1"
"knitr","1.50"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.2"
"lattice","0.22-7"
"lifecycle","1.0.4"
"limma","3.58.1"
"locfit","1.5-9.12"
"magrittr","2.0.3"
"MASS","7.3-60.0.1"
"Matrix","1.6-5"
"MatrixGenerics","1.14.0"
"matrixStats","1.5.0"
"mclust","6.1.1"
"memoise","2.0.1"
"metapod","1.10.1"
"methods","4.3.3"
"mgcv","1.9-3"
"mime","0.13"
"miniUI","0.1.2"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"nlme","3.1-168"
"openssl","2.3.3"
"parallel","4.3.3"
"pbmcapply","1.5.1"
"pheatmap","1.0.13"
"pillar","1.11.0"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.1.3"
"pkgload","1.4.0"
"png","0.1-8"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.6"
"profvis","0.4.0"
"promises","1.3.3"
"ps","1.9.1"
"purrr","1.0.4"
"R6","2.6.1"
"ragg","1.4.0"
"randtoolbox","2.0.5"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppAnnoy","0.0.22"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppML","0.3.7"
"RcppProgress","0.4.2"
"RcppThread","2.2.0"
"RcppTOML","0.2.3"
"RCurl","1.98-1.17"
"rematch2","2.1.2"
"remotes","2.5.0"
"reticulate","1.42.0"
"RhpcBLASctl","0.23-42"
"rlang","1.1.6"
"rmarkdown","2.29"
"rngWELL","0.10-10"
"roxygen2","7.3.2"
"rprojroot","2.0.4"
"RSpectra","0.16-2"
"rstudioapi","0.17.1"
"rsvd","1.0.5"
"Rtsne","0.17"
"rversions","2.1.2"
"rvinecopulib","0.7.3.1.0"
"S4Arrays","1.2.1"
"S4Vectors","0.40.2"
"sass","0.4.10"
"ScaledMatrix","1.10.0"
"scales","1.4.0"
"scater","1.30.1"
"scDesign3","1.5.0"
"scran","1.30.2"
"scuttle","1.12.0"
"sessioninfo","1.2.3"
"shiny","1.11.1"
"SingleCellExperiment","1.24.0"
"sitmo","2.0.2"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"SparseArray","1.2.4"
"sparseMatrixStats","1.14.0"
"sparseMVN","0.2.2"
"splines","4.3.3"
"statmod","1.5.1"
"stats","4.3.3"
"stats4","4.3.3"
"stringi","1.8.7"
"stringr","1.5.1"
"SummarizedExperiment","1.32.0"
"survival","3.8-3"
"sys","3.4.3"
"systemfonts","1.2.3"
"tcltk","4.3.3"
"testthat","3.2.3"
"textshaping","1.0.1"
"tibble","3.3.0"
"tidyselect","1.2.1"
"tinytex","0.57"
"tools","4.3.3"
"umap","0.2.10.0"
"urlchecker","1.0.1"
"usethis","3.1.0"
"utf8","1.2.6"
"utils","4.3.3"
"uwot","0.2.3"
"vctrs","0.6.5"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.2"
"waldo","0.6.1"
"wdm","0.2.6"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.52"
"xml2","1.3.8"
"xopen","1.0.1"
"xtable","1.8-4"
"XVector","0.42.0"
"yaml","2.3.10"
"zellkonverter","1.12.1"
"zip","2.3.3"
"zlibbioc","1.48.2"
